SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1556.00,1570.00,1495.00,1507.45,1507.45,1554.40,1368,13070,19980526.00,
500003,AEGIS LOGIS ,A ,Q,271.05,274.00,260.75,263.80,262.05,270.65,328,10247,2762174.00,
500008,AMAR RAJA BA,A ,Q,820.65,831.05,811.00,814.65,811.00,826.65,1173,38167,31333856.00,
500009,A.SARABHAI  ,XT,Q,11.23,11.85,11.21,11.23,11.21,11.68,48,30405,347223.00,
500010,HDFC        ,A ,Q,1830.00,1841.95,1807.00,1816.10,1823.60,1830.00,1370,416945,758232543.00,
500012,ANDHRA PETRO,X ,Q,60.00,60.50,57.20,57.80,57.80,59.00,332,65634,3848220.00,
500013,ANSAL INFRAS,B ,Q,23.95,23.95,23.00,23.45,23.30,23.75,203,67271,1568298.00,
500014,APPLE FINANC,X ,Q,3.50,3.50,3.31,3.45,3.45,3.48,20,4046,13684.00,
500020,BOM DYEING  ,A ,Q,288.00,295.00,270.90,274.20,274.20,281.30,15173,1606168,454026918.00,
500023,ASIANHOTNR  ,T ,Q,268.00,279.90,267.05,270.55,271.10,274.20,11,1458,398096.00,
500024,ASSAMCO     ,B ,Q,4.95,5.13,4.86,4.98,5.07,5.11,273,276966,1363182.00,
500027,ATUL LTD.   ,A ,Q,2740.70,2740.70,2652.35,2697.95,2713.00,2702.55,173,804,2172969.00,
500028,ATV PROJECTS,XT,Q,11.00,11.84,11.00,11.50,11.50,11.35,38,19838,225568.00,
500029,AUTOLITE(I) ,B ,Q,81.40,81.40,75.00,76.20,76.20,80.35,170,25124,1961960.00,
500031,BAJAJ ELECT.,A ,Q,512.00,512.00,491.00,505.00,503.75,498.75,863,35542,17784522.00,
500032,BAJAJHIND   ,A ,Q,13.31,13.56,13.15,13.23,13.19,13.41,609,708120,9390826.00,
500033,FORCE MOTR  ,B ,Q,2940.00,2985.00,2900.00,2904.50,2904.50,2938.65,2462,20329,59385950.00,
500034,BAJFINANCE  ,A ,Q,1687.10,1703.75,1666.85,1672.85,1672.85,1677.55,2156,38352,64640859.00,
500038,BALRAM.CHINI,A ,Q,121.10,121.35,116.10,116.65,116.65,120.40,1164,180274,21370673.00,
500039,BANCO PROD. ,B ,Q,231.00,234.00,224.00,226.90,226.50,228.30,426,16794,3856190.00,
500040,CENTURY TEXT,A ,Q,1259.70,1264.95,1184.35,1195.20,1195.20,1252.90,2495,90695,110116771.00,
500041,BANNARI AMAN,B ,Q,1743.00,1790.00,1725.10,1785.00,1785.00,1790.80,16,222,391966.00,
500042,BASF INDIA  ,B ,Q,2021.05,2117.00,1975.00,1996.45,1993.90,2077.70,429,2533,5147379.00,
500043,BATA INDIA  ,A ,Q,724.00,727.20,695.00,700.65,700.65,718.95,965,31823,22655168.00,
500048,BEML LTD    ,A ,Q,1310.00,1349.90,1246.00,1263.15,1263.15,1305.10,1561,41795,53622672.00,
500049,BHARAT ELECT,A ,Q,157.55,158.25,153.70,155.40,155.40,157.05,1603,222964,34654246.00,
500052,BHANSALI ENG,B ,Q,174.50,176.95,168.25,171.50,171.50,172.95,1071,148967,25501156.00,
500055,BHUSH STEEL ,B ,Q,47.10,48.30,44.40,44.90,44.90,46.50,2254,518653,23755772.00,
500058,BIHAR SPONGE,XT,Q,3.19,3.32,3.04,3.29,3.29,3.19,42,14480,46114.00,
500059,BINANI IND. ,B ,Q,113.45,113.45,105.40,106.70,106.50,109.90,210,20821,2249906.00,
500060,BIRLACABLE  ,B ,Q,65.00,65.00,63.25,64.35,64.35,66.50,66,5704,365120.00,
500067,BLUE STAR   ,A ,Q,736.00,746.00,725.10,728.05,729.00,743.00,114,2735,2001666.00,
500068,DISA INDIA  ,X ,Q,6084.00,6200.00,5800.00,6020.25,6024.00,6201.75,43,227,1385324.00,
500069,BNK CAPITAL ,X ,Q,119.00,119.00,113.00,114.15,114.15,114.10,12,420,47989.00,
500074,BPL LTD.    ,B ,Q,96.30,98.90,93.00,94.60,95.00,97.30,846,103377,9918772.00,
500078,CAMPH.& ALL ,X ,Q,1042.00,1070.50,1039.90,1061.75,1070.00,1094.05,81,1366,1447453.00,
500083,CENTURY EXT ,B ,Q,7.30,7.48,7.09,7.09,7.09,7.46,101,73206,522196.00,
500084,CESC LTD.   ,A ,Q,1010.00,1016.75,989.50,1002.45,1003.70,1005.70,1080,21093,21133120.00,
500085,CHAMBAL FERT,A ,Q,159.30,159.30,154.00,155.55,155.55,158.15,908,35473,5540547.00,
500086,EXIDE IND.  ,A ,Q,214.50,215.60,210.20,211.10,211.10,213.95,614,70070,14893502.00,
500087,CIPLA LTD.  ,A ,Q,612.80,613.50,605.35,609.95,609.95,606.85,1066,70291,42834994.00,
500089,DIC INDIA   ,B ,Q,519.50,535.05,501.10,523.85,525.00,518.10,80,2039,1062783.00,
500092,CRISIL LTD  ,A ,Q,2006.50,2010.65,1974.00,2000.60,1998.00,1996.10,153,1144,2284236.00,
500093,CGPOWER     ,A ,Q,89.10,89.20,84.00,84.70,84.70,87.55,657,179433,15377739.00,
500096,DABUR (I)   ,A ,Q,340.90,344.50,340.70,342.05,341.45,339.55,1103,52914,18139578.00,
500097,DALMIASUG   ,B ,Q,108.00,108.25,105.05,105.65,106.00,106.75,267,22359,2386027.00,
500101,ARVIND Ltd  ,A ,Q,402.30,404.15,385.00,386.65,386.65,397.50,964,72212,28227260.00,
500102,BALARPUR IND,B ,Q,14.00,14.20,13.65,13.75,13.75,13.90,275,183402,2534718.00,
500103,BHEL        ,A ,Q,95.55,96.35,93.95,94.30,94.30,94.70,2664,616695,58541519.00,
500104,HIND.PETRO  ,A ,Q,393.80,394.00,386.05,386.85,386.85,391.10,1420,99398,38657335.00,
500106,IFCI LTD    ,A ,Q,23.15,23.75,22.95,23.15,23.15,23.35,1410,650699,15165217.00,
500108,MAHA.TELE   ,B ,Q,22.60,23.10,22.15,22.30,22.30,22.60,723,363228,8203882.00,
500109,MRPL        ,A ,Q,119.55,119.95,116.90,117.60,117.60,118.90,571,76712,9031811.00,
500110,CHENNAI PET.,A ,Q,380.85,380.85,365.75,368.30,368.30,378.90,779,36107,13395438.00,
500111,REL.CAP.    ,A ,Q,487.35,495.50,476.70,482.50,482.50,484.60,7707,604012,292884612.00,
500112,STATE BANK  ,A ,Q,280.05,281.20,270.00,271.75,271.75,278.85,16314,3887817,1063610994.00,
500113,STEEL AUTH. ,A ,Q,93.00,93.80,87.55,88.35,88.35,92.40,3713,1775338,159711511.00,
500114,TITAN       ,A ,Q,810.00,825.50,796.20,802.60,804.90,816.10,1305,56453,45895380.00,
500116,IDBI BANK L ,A ,Q,64.05,64.70,60.45,61.75,61.75,63.50,2817,952535,59461614.00,
500117,DCW LTD.    ,B ,Q,37.20,37.65,36.50,37.10,37.10,36.95,403,124635,4601149.00,
500119,DHAMPUR SUGA,B ,Q,207.10,216.60,207.10,214.20,214.20,205.05,1381,119396,25436740.00,
500120,DIAMINES&CHM,X ,Q,110.55,112.00,106.60,108.00,108.00,110.65,125,13945,1518113.00,
500123,ELANTAS     ,B ,Q,2084.05,2144.00,2042.00,2058.20,2042.00,2118.75,114,558,1158757.00,
500124,DR.REDDY'S  ,A ,Q,2218.00,2238.00,2195.00,2212.75,2212.75,2194.45,2550,54369,120816404.00,
500125,E.I.D.PAR   ,A ,Q,326.75,326.75,317.15,319.70,319.70,324.75,191,8148,2613408.00,
500126,MERCK LTD   ,B ,Q,1495.00,1505.35,1425.00,1449.65,1450.00,1492.50,227,2025,2934535.00,
500128,ELEC.CASTING,B ,Q,34.95,35.25,32.20,32.45,32.60,34.50,448,101972,3400812.00,
500132,EMPEE SUGARS,X ,Q,4.71,4.71,4.42,4.45,4.42,4.64,33,12733,56756.00,
500133,ESAB INDIA  ,B ,Q,819.95,822.95,802.10,812.15,822.95,827.95,26,266,216355.00,
500135,ESSEL PROP  ,B ,Q,287.65,293.00,283.00,288.75,285.80,280.95,319,25531,7444253.00,
500136,ESTER INDUS.,B ,Q,63.50,64.00,60.80,63.00,63.00,63.15,534,76932,4791714.00,
500139,FEDDERELEC  ,B ,Q,69.75,70.20,68.05,68.40,68.40,69.50,127,18571,1277611.00,
500141,FERRO ALLOYS,X ,Q,11.35,11.84,10.85,11.12,11.12,11.28,362,249150,2802919.00,
500143,P.H.CAPITAL ,XT,Q,32.75,32.75,32.75,32.75,32.75,31.20,2,10,327.00,
